083.wav,8,-145.1031991258172
084.wav,2,-132.84817781520636
085.wav,7,-145.16967096838331
086.wav,0,-140.22985806863863
087.wav,9,-140.16936072648397
088.wav,3,-127.77668737861269
089.wav,0,-134.82643001094206
090.wav,1,-126.06799849224733
091.wav,3,-128.2062987582119
092.wav,6,-139.46051252917997
093.wav,2,-130.8208780249445
094.wav,7,-128.54099595174577
095.wav,3,-148.0855453807026
096.wav,2,-135.25293395795245
097.wav,5,-126.01694887286739
098.wav,8,-134.54136056259884
099.wav,9,-128.26005341640246
100.wav,8,-135.62394318847728
101.wav,8,-139.53545492762004
102.wav,5,-143.14345553710098
103.wav,2,-152.36061958885975
104.wav,2,-135.67314428958937
105.wav,5,-126.7715723831402
106.wav,6,-124.1552801079181
107.wav,1,-132.3617201721653
108.wav,2,-152.16297473858282
109.wav,1,-138.18149734004976
110.wav,6,-139.43380883655917
111.wav,5,-157.81487107691305
112.wav,4,-144.98631308213032
113.wav,5,-145.74714665184985
114.wav,6,-137.3593998154554
115.wav,4,-137.7984094474006
116.wav,2,-132.74632563307543
117.wav,5,-148.08471242368313
118.wav,3,-125.50981934520213
119.wav,5,-127.84850991838624
120.wav,4,-132.39444893298895
121.wav,0,-140.249576701449
122.wav,8,-147.73754671915583
123.wav,7,-129.387860084448
124.wav,1,-141.90035826707185
125.wav,3,-141.48872974331692
126.wav,7,-130.99033019022798
127.wav,5,-134.11313009087982
128.wav,3,-126.62557154805785
129.wav,8,-140.8187489484668
130.wav,8,-133.80233084616268
131.wav,4,-137.86301128597478
132.wav,8,-137.9301388656489
133.wav,9,-128.15835347938085
134.wav,5,-132.42406054728426
135.wav,0,-128.76573264112582
136.wav,8,-145.7622330902721
137.wav,7,-142.36396016120045
138.wav,5,-142.90573028413735
139.wav,1,-134.08464610585844
140.wav,7,-128.81277480230654
141.wav,0,-134.55658658722632
142.wav,7,-126.10450504501833
143.wav,9,-136.96902497444256
144.wav,1,-125.81089062600608
145.wav,2,-151.91446250409294
146.wav,0,-139.31049690826492
147.wav,5,-151.22290357162012
148.wav,3,-134.39644016043792
149.wav,0,-130.46846819238397
150.wav,1,-134.65013770753436
151.wav,5,-142.32299667547284
152.wav,7,-128.53210182772773
153.wav,5,-134.39388670049934
154.wav,1,-149.08958049733013
155.wav,5,-138.88708861842417
156.wav,5,-134.85727789995533
157.wav,4,-133.26688863338003
158.wav,1,-136.56629909491718
159.wav,6,-126.04679841176035
160.wav,0,-123.08262380662572
161.wav,6,-120.95363389232037
162.wav,7,-127.6314797480292
163.wav,4,-133.13864226227753
164.wav,4,-125.04035419378367
165.wav,4,-131.85902396789794
166.wav,4,-140.06646960719277
167.wav,0,-135.44581142369788
168.wav,6,-128.5410139981483
169.wav,4,-141.61146608921908
170.wav,6,-136.57208781265646
171.wav,0,-134.2546178506692
172.wav,9,-138.8669785126521
173.wav,1,-150.2425364472466
174.wav,8,-152.69671281191762
175.wav,4,-139.12053957265658
176.wav,2,-130.84180943381656
177.wav,7,-131.04776633300244
178.wav,8,-137.82628865101353
179.wav,4,-135.30837358720467
180.wav,8,-146.14056662018254
181.wav,2,-137.53581452511688
182.wav,0,-131.44124808366914
183.wav,4,-126.01851825478806
184.wav,6,-131.9980549543611
185.wav,9,-138.8255171363453
186.wav,6,-137.4015961813536
187.wav,2,-126.36503779624661
188.wav,8,-153.05463799737763
189.wav,5,-129.5174727153078
190.wav,6,-126.91262365787475
191.wav,5,-129.2437953374025
192.wav,3,-144.7429315802166
193.wav,7,-139.04141538038297
194.wav,3,-131.9227232717487
195.wav,8,-128.2062691116548
196.wav,1,-145.0474196264949
197.wav,6,-129.8498096398676
198.wav,5,-138.30811152476682
199.wav,4,-133.4021682377791
200.wav,4,-130.5721054823907
